                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0582,                  5.426,                 4.2329,                      0,                      0,                      0,                      0,                 3.3799,                 5.9708,                 4.1589,                      0,                      0,                      0
                      1,                 3.0774,                 5.5959,                 4.2037,                      0,                      0,                      0,                      0,                   3.38,                 5.9706,                  4.159,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      2,                 3.0856,                 5.5028,                 4.2445,                      0,                      0,                      0,                      0,                 3.3801,                 5.9705,                 4.1591,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      3,                 2.9834,                 5.5037,                 4.2099,                      0,                      0,                      0,                      0,                 3.3801,                 5.9704,                 4.1591,              3.464e-06,              3.464e-06,              3.464e-06
                      4,                 3.3974,                 5.6289,                 4.3477,                      0,                      0,                      0,                      0,                 3.3802,                 5.9702,                 4.1592,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      5,                 2.9868,                 5.4349,                 4.2191,                      0,                      0,                      0,                      0,                 3.3802,                   5.97,                 4.1593,             5.6555e-06,             5.6555e-06,             5.6555e-06
