                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.56578,                0.50223,                0.95566,                0.63832,                 0.8866,                0.84068,                 0.5122,                 1.4446,                 1.0335,                 1.7765,               0.001363,               0.001363,               0.001363
                    142,                0.53847,                0.48025,                0.91826,                0.64011,                0.88765,                0.85198,                0.51223,                 1.4298,                 1.0459,                 1.7352,              0.0013625,              0.0013625,              0.0013625
                    143,                0.57778,                0.52196,                 0.9552,                0.69187,                0.85253,                0.86707,                0.51931,                 1.4566,                 1.0912,                 1.6763,               0.001362,               0.001362,               0.001362
                    144,                0.55617,                0.48027,                0.92428,                0.75535,                0.82659,                0.89275,                0.54861,                 1.3955,                 1.0475,                 1.6307,              0.0013616,              0.0013616,              0.0013616
                    145,                0.60729,                0.54575,                  0.963,                0.76096,                0.84074,                0.83654,                0.53155,                 1.4688,                  1.129,                 1.7399,              0.0013611,              0.0013611,              0.0013611
                    146,                0.57748,                0.51826,                 0.9587,                0.72626,                0.85305,                0.83854,                0.53775,                 1.4117,                 1.1498,                  1.706,              0.0013606,              0.0013606,              0.0013606
                    147,                0.55451,                0.49169,                0.92573,                 0.7809,                0.82473,                0.81822,                0.52636,                 1.3415,                  1.095,                 1.6502,              0.0013602,              0.0013602,              0.0013602
                    148,                0.58553,                0.51749,                0.95437,                0.76147,                0.83148,                 0.8083,                0.51219,                 1.3366,                 1.1438,                 1.6774,              0.0013597,              0.0013597,              0.0013597
                    149,                0.55837,                0.49144,                0.94665,                0.70766,                0.79831,                0.76541,                0.44528,                 1.3683,                 1.2894,                 1.6925,              0.0013592,              0.0013592,              0.0013592
                    150,                0.55659,                0.51531,                  0.948,                0.76583,                0.74377,                0.73152,                0.46594,                 1.3657,                 1.3998,                 1.7137,              0.0013587,              0.0013587,              0.0013587
                    151,                0.59293,                0.50497,                0.94933,                 0.8011,                0.68732,                0.69119,                0.40812,                 1.4289,                 1.3854,                 1.7864,              0.0013583,              0.0013583,              0.0013583
                    152,                0.55868,                 0.4975,                0.93388,                0.74051,                0.76251,                0.71841,                0.43836,                 1.4614,                 1.2809,                 1.8016,              0.0013578,              0.0013578,              0.0013578
                    153,                0.53337,                0.47228,                0.90729,                0.75984,                 0.7636,                0.79699,                0.51152,                 1.4722,                 1.1344,                 1.8135,              0.0013573,              0.0013573,              0.0013573
                    154,                0.55012,                0.48503,                0.93957,                0.69934,                0.86796,                0.86113,                 0.5694,                  1.355,                 1.0449,                 1.7387,              0.0013568,              0.0013568,              0.0013568
                    155,                0.56283,                0.50505,                0.93889,                0.74828,                0.84444,                0.84463,                0.58082,                 1.2618,                 1.0515,                 1.6499,              0.0013564,              0.0013564,              0.0013564
                    156,                0.55004,                0.51326,                0.92957,                0.70383,                0.86667,                0.84271,                 0.5828,                 1.2769,                 1.0411,                 1.6378,              0.0013559,              0.0013559,              0.0013559
                    157,                 0.5738,                0.50199,                0.94852,                0.72824,                0.80282,                0.82213,                0.58297,                 1.2816,                 1.0269,                 1.5183,              0.0013554,              0.0013554,              0.0013554
                    158,                0.55969,                0.49156,                0.95384,                0.71561,                0.81761,                0.80599,                0.55628,                 1.3078,                 1.0621,                  1.513,               0.001355,               0.001355,               0.001355
                    159,                0.54093,                0.49199,                0.94468,                0.81127,                0.79767,                0.81729,                0.55979,                 1.3056,                 1.0666,                 1.5181,              0.0013545,              0.0013545,              0.0013545
                    160,                 0.5684,                0.47971,                0.91734,                0.80703,                0.79652,                0.80746,                0.55827,                 1.3036,                 1.0548,                 1.5292,               0.001354,               0.001354,               0.001354
                    161,                0.57152,                0.48724,                0.93842,                0.75576,                0.75425,                0.79164,                0.50555,                 1.3965,                 1.2115,                 1.5933,              0.0013535,              0.0013535,              0.0013535
                    162,                0.54078,                0.47195,                0.91344,                0.61456,                0.81271,                 0.7886,                0.50572,                 1.4355,                  1.212,                 1.6305,              0.0013531,              0.0013531,              0.0013531
                    163,                0.53966,                  0.493,                 0.9457,                0.82998,                0.60007,                 0.7339,                 0.4258,                 1.5705,                 1.2176,                 1.7514,              0.0013526,              0.0013526,              0.0013526
                    164,                 0.5854,                0.49747,                0.95518,                0.73961,                0.64814,                0.72096,                0.40392,                 1.6448,                 1.2862,                 1.8196,              0.0013521,              0.0013521,              0.0013521
                    165,                0.52159,                 0.4956,                 0.9218,                0.75565,                0.66861,                0.73236,                  0.425,                 1.4998,                 1.1777,                 1.7141,              0.0013517,              0.0013517,              0.0013517
                    166,                0.57007,                0.47098,                 0.9645,                0.75259,                0.70944,                0.76527,                0.47794,                 1.4303,                 1.1582,                 1.6599,              0.0013512,              0.0013512,              0.0013512
                    167,                0.53398,                0.46599,                0.91117,                0.73987,                0.77037,                0.79016,                0.48815,                  1.348,                 1.1681,                 1.6064,              0.0013507,              0.0013507,              0.0013507
                    168,                0.57151,                0.49044,                 0.9464,                0.76067,                0.80741,                0.77272,                0.48235,                 1.3816,                 1.1454,                 1.6136,              0.0013502,              0.0013502,              0.0013502
                    169,                0.53583,                0.46894,                0.93357,                0.79075,                0.73164,                0.77834,                0.50739,                 1.3559,                 1.1752,                 1.6029,              0.0013498,              0.0013498,              0.0013498
                    170,                0.51844,                0.46165,                0.92131,                0.76321,                0.74256,                0.80008,                 0.5236,                 1.2438,                 1.2231,                 1.5174,              0.0013493,              0.0013493,              0.0013493
                    171,                0.54791,                0.47974,                0.93518,                0.84194,                0.60752,                 0.7718,                0.51733,                 1.2572,                 1.1858,                 1.5457,              0.0013488,              0.0013488,              0.0013488
                    172,                0.49572,                0.44616,                0.91758,                0.81688,                0.63704,                0.76568,                0.53377,                  1.252,                  1.224,                 1.5308,              0.0013484,              0.0013484,              0.0013484
                    173,                0.52825,                0.47528,                 0.9404,                0.80467,                0.68148,                0.79299,                0.52873,                 1.4112,                  1.139,                 1.6538,              0.0013479,              0.0013479,              0.0013479
                    174,                0.53224,                0.45997,                0.92173,                0.77162,                0.71771,                0.80559,                0.50864,                 1.4362,                 1.1591,                 1.6596,              0.0013474,              0.0013474,              0.0013474
                    175,                0.54745,                0.45792,                0.92535,                0.74791,                0.63401,                0.79746,                0.50678,                 1.4467,                 1.2016,                 1.6138,              0.0013469,              0.0013469,              0.0013469
                    176,                0.55398,                0.48421,                0.94345,                0.84401,                0.61111,                0.82589,                0.54123,                  1.395,                 1.1484,                 1.5617,              0.0013465,              0.0013465,              0.0013465
                    177,                0.55414,                0.48601,                0.94093,                 0.8284,                0.72355,                0.85371,                0.58082,                 1.3262,                 1.0657,                 1.5335,               0.001346,               0.001346,               0.001346
                    178,                0.51742,                0.47887,                 0.9165,                0.83668,                0.82481,                0.87383,                0.58186,                 1.3572,                 1.0358,                  1.583,              0.0013455,              0.0013455,              0.0013455
                    179,                 0.5082,                0.44535,                0.91872,                0.82322,                0.82206,                0.87675,                 0.6108,                 1.3496,                 1.0315,                 1.6101,              0.0013451,              0.0013451,              0.0013451
                    180,                0.53543,                0.45805,                0.89945,                0.74001,                0.80741,                 0.8492,                0.60086,                 1.3602,                 1.1054,                 1.6246,              0.0013446,              0.0013446,              0.0013446
                    181,                0.53311,                0.47108,                0.93411,                0.70645,                0.83785,                0.83173,                0.54398,                 1.3769,                 1.1301,                 1.6122,              0.0013441,              0.0013441,              0.0013441
                    182,                0.53869,                0.46741,                0.94613,                0.70893,                0.81202,                0.81806,                0.54625,                  1.396,                 1.1254,                 1.6309,              0.0013436,              0.0013436,              0.0013436
                    183,                0.52729,                0.46607,                0.94528,                0.77938,                0.84789,                0.83439,                0.54433,                 1.3935,                 1.1619,                 1.6696,              0.0013432,              0.0013432,              0.0013432
                    184,                0.56381,                0.47076,                0.93443,                0.80959,                0.82676,                0.84536,                0.53532,                 1.4175,                 1.1451,                 1.6755,              0.0013427,              0.0013427,              0.0013427
                    185,                 0.5649,                0.48213,                0.96269,                0.82153,                0.82407,                0.88253,                0.52031,                 1.4697,                 1.0916,                 1.7133,              0.0013422,              0.0013422,              0.0013422
                    186,                0.51307,                0.45334,                0.94526,                0.81144,                 0.7061,                0.85998,                0.50658,                 1.5157,                 1.1278,                 1.7641,              0.0013418,              0.0013418,              0.0013418
                    187,                0.54166,                0.47749,                0.95151,                0.83334,                0.71555,                0.85956,                0.50612,                 1.5175,                 1.2349,                 1.7249,              0.0013413,              0.0013413,              0.0013413
                    188,                0.54152,                0.48129,                0.93731,                 0.6729,                0.76925,                0.82135,                0.51237,                  1.493,                 1.2172,                 1.6886,              0.0013408,              0.0013408,              0.0013408
                    189,                0.55202,                0.44303,                0.94809,                0.62285,                0.78832,                0.82454,                0.53456,                 1.4216,                 1.2876,                  1.642,              0.0013403,              0.0013403,              0.0013403
                    190,                0.52173,                0.47598,                0.94291,                0.71358,                0.71368,                0.82983,                0.54209,                 1.3526,                 1.1906,                 1.5951,              0.0013399,              0.0013399,              0.0013399
                    191,                0.52228,                0.45951,                0.94259,                0.75313,                0.70645,                0.85384,                0.56327,                 1.3413,                 1.2353,                 1.6047,              0.0013394,              0.0013394,              0.0013394
                    192,                0.57548,                0.48608,                0.95483,                0.79446,                0.70614,                0.85521,                0.56023,                 1.3712,                  1.189,                 1.6115,              0.0013389,              0.0013389,              0.0013389
                    193,                0.51008,                0.43188,                0.92088,                0.74867,                0.78327,                0.85288,                0.53974,                 1.4666,                 1.2633,                 1.6586,              0.0013385,              0.0013385,              0.0013385
                    194,                0.51814,                0.43193,                 0.9175,                0.76657,                0.79291,                0.84628,                0.55073,                 1.3928,                 1.1649,                 1.6411,               0.001338,               0.001338,               0.001338
                    195,                0.51924,                 0.4435,                0.92523,                0.79601,                0.84279,                0.84908,                0.55427,                  1.331,                 1.0366,                 1.6424,              0.0013375,              0.0013375,              0.0013375
                    196,                0.49521,                0.42718,                0.91293,                0.81675,                0.82946,                 0.8674,                0.58675,                 1.3268,                 1.0158,                 1.6435,               0.001337,               0.001337,               0.001337
                    197,                0.48872,                0.43705,                0.93215,                0.76509,                 0.7732,                0.84504,                0.56308,                 1.4004,                 1.0826,                 1.6953,              0.0013366,              0.0013366,              0.0013366
                    198,                0.50695,                0.43243,                0.92033,                0.68951,                0.79371,                 0.8492,                0.55226,                 1.3943,                 1.1341,                  1.686,              0.0013361,              0.0013361,              0.0013361
                    199,                 0.5195,                0.44955,                0.93956,                0.68945,                0.77222,                0.83545,                 0.5346,                 1.3852,                 1.1718,                 1.6372,              0.0013356,              0.0013356,              0.0013356
                    200,                  0.502,                0.41578,                0.91054,                0.57482,                0.80035,                0.81691,                0.52583,                 1.4302,                 1.2407,                 1.6603,              0.0013352,              0.0013352,              0.0013352
                    201,                0.50977,                0.43244,                0.91645,                0.74696,                0.65381,                0.79319,                0.53417,                 1.3682,                 1.2003,                 1.5873,              0.0013347,              0.0013347,              0.0013347
                    202,                0.52501,                0.45413,                0.93877,                0.66094,                0.78879,                0.86598,                0.55804,                 1.3556,                 1.1499,                 1.5759,              0.0013342,              0.0013342,              0.0013342
                    203,                 0.5095,                0.43093,                0.91256,                0.62375,                0.81904,                0.84384,                0.55097,                 1.3916,                 1.0614,                 1.6109,              0.0013337,              0.0013337,              0.0013337
                    204,                0.54354,                0.43297,                0.93607,                0.65409,                0.78501,                0.82119,                  0.544,                   1.38,                 1.0599,                  1.589,              0.0013333,              0.0013333,              0.0013333
                    205,                0.52747,                0.43592,                0.92153,                0.75053,                0.79178,                0.82884,                0.51787,                 1.3537,                 1.0584,                 1.5421,              0.0013328,              0.0013328,              0.0013328
                    206,                0.56451,                 0.4752,                0.93657,                0.75046,                   0.77,                0.81921,                0.53337,                 1.3276,                 1.0936,                 1.5385,              0.0013323,              0.0013323,              0.0013323
                    207,                0.50475,                0.41667,                0.90315,                0.68276,                0.73705,                0.85085,                0.55737,                 1.3141,                  1.161,                 1.5472,              0.0013319,              0.0013319,              0.0013319
                    208,                0.46509,                0.42256,                0.90576,                  0.645,                0.71692,                0.82857,                 0.5612,                 1.2819,                 1.1833,                 1.5399,              0.0013314,              0.0013314,              0.0013314
                    209,                0.50588,                0.44434,                 0.9255,                0.80156,                0.66481,                 0.8116,                0.53268,                 1.2803,                 1.2163,                 1.5108,              0.0013309,              0.0013309,              0.0013309
                    210,                0.52001,                0.44289,                0.92154,                0.82422,                0.62682,                0.79447,                 0.5208,                 1.3719,                 1.1497,                  1.634,              0.0013304,              0.0013304,              0.0013304
                    211,                0.52027,                0.43522,                0.93506,                0.82812,                0.67963,                0.79842,                  0.522,                 1.3541,                 1.1851,                 1.6206,                0.00133,                0.00133,                0.00133
                    212,                0.50346,                0.45563,                 0.9374,                0.78015,                0.74029,                 0.7842,                0.50518,                 1.4036,                  1.266,                 1.6447,              0.0013295,              0.0013295,              0.0013295
                    213,                 0.4873,                0.41768,                0.90743,                0.77744,                0.71296,                0.78745,                0.50575,                 1.4534,                 1.3814,                 1.7188,               0.001329,               0.001329,               0.001329
                    214,                0.51986,                0.45156,                0.94308,                0.79179,                0.72196,                0.79653,                0.52386,                 1.4529,                 1.3644,                 1.7353,              0.0013286,              0.0013286,              0.0013286
                    215,                0.48539,                0.42935,                0.91321,                0.84872,                0.73107,                0.83863,                0.54227,                 1.3802,                 1.1377,                 1.6801,              0.0013281,              0.0013281,              0.0013281
                    216,                0.49389,                0.41462,                0.91539,                0.87928,                0.72255,                0.85773,                0.55087,                 1.4134,                 1.0517,                 1.6846,              0.0013276,              0.0013276,              0.0013276
                    217,                0.50861,                0.41976,                0.94159,                0.76482,                0.79246,                0.86746,                0.53105,                 1.5341,                 1.1213,                 1.7155,              0.0013271,              0.0013271,              0.0013271
                    218,                0.53311,                 0.4388,                0.93884,                0.90163,                0.66773,                0.83814,                0.52941,                 1.5047,                 1.1772,                 1.6941,              0.0013267,              0.0013267,              0.0013267
                    219,                 0.4523,                0.41075,                0.89023,                0.78375,                0.72249,                0.80816,                0.49434,                 1.4882,                 1.3021,                 1.7217,              0.0013262,              0.0013262,              0.0013262
                    220,                0.47927,                0.42958,                0.89123,                0.83612,                0.62736,                0.77736,                0.45038,                 1.5055,                  1.318,                 1.7757,              0.0013257,              0.0013257,              0.0013257
                    221,                0.51701,                0.43159,                0.93917,                0.77808,                 0.7463,                 0.7576,                 0.4494,                 1.5426,                 1.3411,                 1.8226,              0.0013253,              0.0013253,              0.0013253
                    222,                0.52765,                0.46716,                0.93822,                0.80084,                0.72407,                0.77055,                0.47754,                  1.491,                 1.2641,                 1.8171,              0.0013248,              0.0013248,              0.0013248
                    223,                0.49996,                  0.413,                0.91532,                0.76573,                0.85741,                0.82946,                0.54092,                 1.4042,                 1.1425,                 1.6968,              0.0013243,              0.0013243,              0.0013243
                    224,                0.51739,                0.43492,                0.93154,                0.85422,                0.80926,                0.83179,                0.55993,                 1.3214,                 1.0617,                 1.6022,              0.0013238,              0.0013238,              0.0013238
                    225,                 0.5119,                0.43252,                0.92457,                 0.7619,                0.83974,                0.81178,                0.53578,                 1.3375,                 1.0956,                  1.592,              0.0013234,              0.0013234,              0.0013234
                    226,                  0.472,                0.43288,                0.91024,                0.79862,                 0.8836,                0.84139,                0.55323,                 1.3337,                 1.0397,                 1.6124,              0.0013229,              0.0013229,              0.0013229
                    227,                0.48482,                0.42288,                0.91616,                0.82651,                0.79251,                0.87048,                0.58139,                 1.2931,                 0.9911,                 1.5794,              0.0013224,              0.0013224,              0.0013224
                    228,                 0.5065,                0.43991,                0.94011,                0.80625,                0.79694,                0.88053,                0.61029,                 1.3012,                0.93761,                 1.5533,               0.001322,               0.001322,               0.001322
                    229,                 0.4588,                0.39618,                0.88325,                0.77522,                0.75879,                0.83628,                0.58769,                 1.3427,                 1.0045,                 1.5487,              0.0013215,              0.0013215,              0.0013215
